Model,Features,Tolerance,Mean,Std
DecisionTree,Attendance,0,0.14523002421307507,0.007588714676438835
DecisionTree,Attendance,1,0.4281295399515739,0.010791388429526861
DecisionTree,Attendance,2,0.6534806295399516,0.01140843643107978
DecisionTree,Attendance,3,0.80909200968523,0.010552053240052364
DecisionTree,Attendance,4,0.9034866828087168,0.00721500555686116
DecisionTree,Attendance,5,0.9572881355932203,0.004775130834493429
DecisionTree,"Attendance, Gender",0,0.14462469733656175,0.007778505678213368
DecisionTree,"Attendance, Gender",1,0.42039346246973364,0.011238836475992475
DecisionTree,"Attendance, Gender",2,0.6518038740920098,0.01142309279323496
DecisionTree,"Attendance, Gender",3,0.8049939467312349,0.010828202725028952
DecisionTree,"Attendance, Gender",4,0.9002784503631962,0.007322597906908524
DecisionTree,"Attendance, Gender",5,0.9564346246973366,0.00510851820432493
DecisionTree,"Attendance, Parental_Involvement",0,0.15294188861985472,0.007368751816144194
DecisionTree,"Attendance, Parental_Involvement",1,0.44618038740920096,0.0113204103791274
DecisionTree,"Attendance, Parental_Involvement",2,0.670544794188862,0.011161881688894315
DecisionTree,"Attendance, Parental_Involvement",3,0.8252421307506053,0.009691533461277498
DecisionTree,"Attendance, Parental_Involvement",4,0.9158232445520581,0.006504690383354135
DecisionTree,"Attendance, Parental_Involvement",5,0.9628329297820823,0.004110031757339584
DecisionTree,"Attendance, Parental_Involvement, Gender",0,0.15162832929782083,0.007740257500997414
DecisionTree,"Attendance, Parental_Involvement, Gender",1,0.44119249394673127,0.012334109494034545
DecisionTree,"Attendance, Parental_Involvement, Gender",2,0.6684443099273608,0.012278312461973319
DecisionTree,"Attendance, Parental_Involvement, Gender",3,0.8223547215496367,0.010657342902340454
DecisionTree,"Attendance, Parental_Involvement, Gender",4,0.9128753026634382,0.007103301883835423
DecisionTree,"Attendance, Parental_Involvement, Gender",5,0.9618341404358354,0.0046439287952436984
DecisionTree,"Attendance, Parental_Involvement, Previous_Scores",0,0.15920096852300242,0.008597716851629942
DecisionTree,"Attendance, Parental_Involvement, Previous_Scores",1,0.4542554479418886,0.012019169857839544
DecisionTree,"Attendance, Parental_Involvement, Previous_Scores",2,0.6799636803874093,0.01105555684566261
DecisionTree,"Attendance, Parental_Involvement, Previous_Scores",3,0.8341162227602905,0.009644990023354066
DecisionTree,"Attendance, Parental_Involvement, Previous_Scores",4,0.9202058111380146,0.007295130699846388
DecisionTree,"Attendance, Parental_Involvement, Previous_Scores",5,0.9639830508474576,0.005023804203103447
DecisionTree,"Attendance, Parental_Involvement, Previous_Scores, Gender",0,0.1598547215496368,0.008693475263125056
DecisionTree,"Attendance, Parental_Involvement, Previous_Scores, Gender",1,0.45308716707021796,0.011853039756987292
DecisionTree,"Attendance, Parental_Involvement, Previous_Scores, Gender",2,0.6787953995157384,0.011248435464304398
DecisionTree,"Attendance, Parental_Involvement, Previous_Scores, Gender",3,0.8339164648910412,0.00981907261472042
DecisionTree,"Attendance, Parental_Involvement, Previous_Scores, Gender",4,0.9197397094430992,0.00732586997463808
DecisionTree,"Attendance, Parental_Involvement, Previous_Scores, Gender",5,0.9642736077481839,0.005101648768204594
DecisionTree,"Attendance, Previous_Scores",0,0.15463075060532688,0.007538652673490551
DecisionTree,"Attendance, Previous_Scores",1,0.4434866828087167,0.012796317981675803
DecisionTree,"Attendance, Previous_Scores",2,0.6650726392251817,0.013255487312752005
DecisionTree,"Attendance, Previous_Scores",3,0.821543583535109,0.010873337330704102
DecisionTree,"Attendance, Previous_Scores",4,0.9107627118644068,0.007725747944800195
DecisionTree,"Attendance, Previous_Scores",5,0.9588498789346247,0.005337774034908117
DecisionTree,"Attendance, Previous_Scores, Gender",0,0.15447941888619854,0.00788733667703473
DecisionTree,"Attendance, Previous_Scores, Gender",1,0.44067796610169496,0.013193494765271428
DecisionTree,"Attendance, Previous_Scores, Gender",2,0.6631295399515739,0.0141304492210669
DecisionTree,"Attendance, Previous_Scores, Gender",3,0.8211985472154965,0.011300673129029092
DecisionTree,"Attendance, Previous_Scores, Gender",4,0.9100605326876513,0.00813004868849929
DecisionTree,"Attendance, Previous_Scores, Gender",5,0.9589648910411622,0.00534215106833147
DecisionTree,Gender,0,0.11037530266343826,0.0070918111195531364
DecisionTree,Gender,1,0.3214346246973366,0.011004214070394784
DecisionTree,Gender,2,0.5242615012106537,0.012552525779767688
DecisionTree,Gender,3,0.6796428571428571,0.01139073487274775
DecisionTree,Gender,4,0.7992191283292978,0.009440894299988118
DecisionTree,Gender,5,0.8861198547215497,0.008188780263097602
DecisionTree,Hours_Studied,0,0.11939467312348669,0.006600881152573123
DecisionTree,Hours_Studied,1,0.3378874092009685,0.01066298144580637
DecisionTree,Hours_Studied,2,0.5432203389830509,0.011163002422003517
DecisionTree,Hours_Studied,3,0.716501210653753,0.012722842316750199
DecisionTree,Hours_Studied,4,0.8423547215496368,0.01212860725933693
DecisionTree,Hours_Studied,5,0.9162832929782083,0.009514625703925894
DecisionTree,"Hours_Studied, Attendance",0,0.19929176755447942,0.008858451355167782
DecisionTree,"Hours_Studied, Attendance",1,0.563589588377724,0.012377544601572203
DecisionTree,"Hours_Studied, Attendance",2,0.8053995157384988,0.00979787503080629
DecisionTree,"Hours_Studied, Attendance",3,0.9296549636803875,0.006076638796629506
DecisionTree,"Hours_Studied, Attendance",4,0.9759745762711864,0.0027541314597254083
DecisionTree,"Hours_Studied, Attendance",5,0.9892312348668281,0.0019416549925342335
DecisionTree,"Hours_Studied, Attendance, Gender",0,0.1994128329297821,0.009239415033273498
DecisionTree,"Hours_Studied, Attendance, Gender",1,0.562730024213075,0.012597844802828204
DecisionTree,"Hours_Studied, Attendance, Gender",2,0.8045581113801452,0.009807757842933317
DecisionTree,"Hours_Studied, Attendance, Gender",3,0.9290859564164649,0.005837481738413979
DecisionTree,"Hours_Studied, Attendance, Gender",4,0.975956416464891,0.0027893643353861675
DecisionTree,"Hours_Studied, Attendance, Gender",5,0.9891343825665859,0.0019888884402928866
DecisionTree,"Hours_Studied, Attendance, Parental_Involvement",0,0.20093220338983053,0.009970255409467771
DecisionTree,"Hours_Studied, Attendance, Parental_Involvement",1,0.5675786924939468,0.011837422763573663
DecisionTree,"Hours_Studied, Attendance, Parental_Involvement",2,0.8081598062953995,0.010381932150604876
DecisionTree,"Hours_Studied, Attendance, Parental_Involvement",3,0.9318523002421307,0.006415518817790091
DecisionTree,"Hours_Studied, Attendance, Parental_Involvement",4,0.9769915254237289,0.0029322164769674496
DecisionTree,"Hours_Studied, Attendance, Parental_Involvement",5,0.9894673123486684,0.0021284481186235526
DecisionTree,"Hours_Studied, Attendance, Parental_Involvement, Gender",0,0.20093825665859566,0.009986411070548548
DecisionTree,"Hours_Studied, Attendance, Parental_Involvement, Gender",1,0.5672397094430992,0.011946405944663665
